t,velocity
12.100000,12.352199
12.100000,10.450177
12.100000,9.123805
12.100000,8.111345
12.100000,7.294699
12.100000,6.611310
12.100000,6.024292
12.100000,5.510163
12.200000,24.400000
12.200000,15.676408
12.200000,12.420629
12.200000,10.509139
12.200000,9.177487
12.200000,8.161589
12.200000,7.342482
12.200000,6.657214
12.200000,6.068693
12.200000,5.553318
12.300000,24.600000
12.300000,15.766921
12.300000,12.488598
12.300000,10.567696
12.300000,9.230803
12.300000,8.211497
12.300000,7.389949
12.300000,6.702820
12.300000,6.112810
12.300000,5.596202
12.400000,24.800000
12.400000,15.856908
12.400000,12.556111
12.400000,10.625854
12.400000,9.283759
12.400000,8.261071
12.400000,7.437104
12.400000,6.748130
12.400000,6.156646
12.400000,5.638816
12.500000,25.000000
12.500000,15.946373
12.500000,12.623172
12.500000,10.683616
12.500000,9.336357
12.500000,8.310315
12.500000,7.483951
12.500000,6.793148
12.500000,6.200204
12.500000,5.681165
12.600000,25.200000
12.600000,16.035321
12.600000,12.689785
12.600000,10.740986
12.600000,9.388602
12.600000,8.359234
12.600000,7.530493
12.600000,6.837878
12.600000,6.243487
12.600000,5.723251
12.700000,25.400000
12.700000,16.123755
12.700000,12.755956
12.700000,10.797970
12.700000,9.440498
12.700000,8.407830
12.700000,7.576732
12.700000,6.882322
12.700000,6.286498
12.700000,5.765076
12.800000,25.600000
12.800000,16.211680
12.800000,12.821689
12.800000,10.854570
12.800000,9.492048
12.800000,8.456107
12.800000,7.622673
12.800000,6.926483
12.800000,6.329239
12.800000,5.806643
12.900000,25.800000
12.900000,16.299100
12.900000,12.886988
12.900000,10.910792
12.900000,9.543257
12.900000,8.504069
12.900000,7.668319
12.900000,6.970365
12.900000,6.371714
12.900000,5.847955
13.000000,26.000000
13.000000,16.386019
13.000000,12.951858
13.000000,10.966639
13.000000,9.594128
13.000000,8.551719
13.000000,7.713672
13.000000,7.013970
13.000000,6.413925
13.000000,5.889015
13.100000,26.200000
13.100000,16.472442
13.100000,13.016303
13.100000,11.022116
13.100000,9.644664
13.100000,8.599061
13.100000,7.758736
13.100000,7.057302
13.100000,6.455876
13.100000,5.929824
13.200000,26.400000
13.200000,16.558373
13.200000,13.080327
13.200000,11.077226
13.200000,9.694869
13.200000,8.646097
13.200000,7.803514
13.200000,7.100363
13.200000,6.497568
13.200000,5.970387
13.300000,26.600000
13.300000,16.643815
13.300000,13.143935
13.300000,11.131973
13.300000,9.744747
13.300000,8.692832
13.300000,7.848010
13.300000,7.143156
13.300000,6.539005
13.300000,6.010704
13.400000,26.800000
13.400000,16.728774
13.400000,13.207131
13.400000,11.186361
13.400000,9.794302
13.400000,8.739268
13.400000,7.892225
13.400000,7.185684
13.400000,6.580189
13.400000,6.050780
13.500000,27.000000
13.500000,16.813252
13.500000,13.269919
13.500000,11.240394
13.500000,9.843537
13.500000,8.785408
13.500000,7.936164
13.500000,7.227950
13.500000,6.621124
13.500000,6.090615
13.600000,27.200000
13.600000,16.897255
13.600000,13.332303
13.600000,11.294075
13.600000,9.892454
13.600000,8.831256
13.600000,7.979829
13.600000,7.269957
13.600000,6.661810
13.600000,6.130213
13.700000,27.400000
13.700000,16.980785
13.700000,13.394288
13.700000,11.347409
13.700000,9.941059
13.700000,8.876815
13.700000,8.023222
13.700000,7.311706
13.700000,6.702252
13.700000,6.169576
13.800000,27.600000
13.800000,17.063848
13.800000,13.455876
13.800000,11.400399
13.800000,9.989353
13.800000,8.922088
13.800000,8.066348
13.800000,7.353202
13.800000,6.742451
13.800000,6.208706
13.900000,27.800000
13.900000,17.146446
13.900000,13.517073
13.900000,11.453048
13.900000,10.037341
13.900000,8.967078
13.900000,8.109208
13.900000,7.394446
13.900000,6.782410
13.900000,6.247607
14.000000,28.000000
14.000000,17.228585
14.000000,13.577882
14.000000,11.505361
14.000000,10.085025
14.000000,9.011787
14.000000,8.151806
